feature,importance
team_a_decided_matches_before,0.572984516052209
team_a_avg_runs,0.3722576832650843
team_b_avg_runs,0.32831359747955013
team_b_decided_matches_before,0.3024505263888109
team_a_avg_wickets,0.27018471766384833
team_b_venue_win_rate,0.16095889271177424
team_b_win_rate,0.1538412214682721
team_b_last5_win_rate,0.13111611184916355
head_to_head_a_wins,0.11158760124679637
team_b_wins_before,0.09420435214317406
head_to_head_b_win_rate,0.07559674725988967
head_to_head_a_win_rate,0.07559674725988885
head_to_head_matches_before,0.07376331713330175
team_b_last10_win_rate,0.06810061673561345
team_b_matches_before,0.06614974216359037
team_a_venue_matches_before,0.05906541089561329
team_a_win_rate,0.056490110723863306
team_a_last10_win_rate,0.05628807152014076
team_a_matches_before,0.04979555655141262
team_a_venue_win_rate,0.04426362675135719
team_b_avg_wickets,0.03893306307782925
team_a_last5_win_rate,0.02526433966754373
team_b_venue_matches_before,0.021504689751625082
head_to_head_b_wins,0.015767427783128635
team_a_wins_before,0.014269589422932525
