match_id,team_name,runs,wickets,total_balls,allocated_balls,fours,sixes,extras,run_rate
1082591,Sunrisers Hyderabad,207,4,120,120,17,9,7,10.35
1082591,Royal Challengers Bengaluru,172,10,118,120,15,8,6,8.75
1082592,Mumbai Indians,184,8,120,120,12,11,8,9.2
1082592,Rising Pune Supergiant,187,3,119,119,18,6,4,9.43
1082593,Gujarat Lions,183,4,120,120,20,6,4,9.15
1082593,Kolkata Knight Riders,184,0,89,89,18,8,15,12.4
1082594,Rising Pune Supergiant,163,6,120,120,11,7,6,8.15
1082594,Punjab Kings,164,4,114,114,11,9,10,8.63
1082595,Royal Challengers Bengaluru,157,8,120,120,14,7,6,7.85
1082595,Delhi Capitals,142,9,120,120,10,5,5,7.1
1082596,Gujarat Lions,135,7,120,120,11,2,3,6.75
1082596,Sunrisers Hyderabad,140,1,93,93,12,5,3,9.03
1082597,Kolkata Knight Riders,178,7,120,120,14,6,9,8.9
1082597,Mumbai Indians,180,6,119,119,15,9,12,9.08
1082598,Royal Challengers Bengaluru,148,4,120,120,6,11,4,7.4
1082598,Punjab Kings,150,2,87,87,11,9,6,10.34
1082599,Delhi Capitals,205,4,120,120,17,10,8,10.25
1082599,Rising Pune Supergiant,108,10,97,120,7,4,5,6.68
1082600,Sunrisers Hyderabad,158,8,120,120,18,3,11,7.9
1082600,Mumbai Indians,159,6,112,112,16,6,4,8.52
1082601,Punjab Kings,170,9,120,120,18,6,16,8.5
1082601,Kolkata Knight Riders,171,2,99,99,20,5,11,10.36
1082602,Royal Challengers Bengaluru,142,5,120,120,7,4,11,7.1
1082602,Mumbai Indians,145,6,113,113,7,7,13,7.7
1082603,Rising Pune Supergiant,171,8,120,120,15,6,5,8.55
1082603,Gujarat Lions,172,3,108,108,20,7,5,9.56
1082604,Kolkata Knight Riders,172,6,120,120,13,7,11,8.6
1082604,Sunrisers Hyderabad,155,6,120,120,16,5,7,7.75
1082605,Delhi Capitals,188,6,120,120,23,5,10,9.4
1082605,Punjab Kings,137,9,120,120,11,3,2,6.85
1082606,Gujarat Lions,176,4,120,120,12,6,11,8.8
1082606,Mumbai Indians,177,4,117,117,11,8,13,9.08
1082607,Rising Pune Supergiant,161,8,120,120,17,4,13,8.05
1082607,Royal Challengers Bengaluru,134,9,120,120,7,5,8,6.7
1082608,Delhi Capitals,168,7,120,120,19,4,3,8.4
1082608,Kolkata Knight Riders,169,6,119,119,13,5,11,8.52
1082609,Sunrisers Hyderabad,159,6,120,120,11,4,11,7.95
1082609,Punjab Kings,154,10,118,120,11,7,10,7.83
1082610,Royal Challengers Bengaluru,213,2,120,120,19,11,4,10.65
1082610,Gujarat Lions,192,7,120,120,10,14,8,9.6
1082611,Sunrisers Hyderabad,191,4,120,120,15,7,4,9.55
1082611,Delhi Capitals,176,5,120,120,18,6,7,8.8
1082612,Punjab Kings,198,4,120,120,17,9,12,9.9
1082612,Mumbai Indians,199,2,93,93,13,15,8,12.84
1082613,Kolkata Knight Riders,187,5,120,120,23,4,3,9.35
1082613,Gujarat Lions,188,6,110,110,20,8,5,10.25
1082614,Mumbai Indians,142,8,120,120,11,4,16,7.1
1082614,Delhi Capitals,128,7,120,120,12,2,8,6.4
1082615,Sunrisers Hyderabad,176,3,120,120,17,5,8,8.8
1082615,Rising Pune Supergiant,179,4,120,120,16,8,3,8.95
1082616,Punjab Kings,188,7,120,120,17,9,5,9.4
1082616,Gujarat Lions,162,7,120,120,16,2,7,8.1
1082617,Kolkata Knight Riders,131,10,117,120,14,2,8,6.72
1082617,Royal Challengers Bengaluru,49,10,58,120,8,0,7,5.07
1082618,Rising Pune Supergiant,160,6,120,120,17,3,4,8.0
1082618,Mumbai Indians,157,8,120,120,16,5,6,7.85
1082620,Rising Pune Supergiant,182,5,120,120,16,6,7,9.1
1082620,Kolkata Knight Riders,184,3,109,109,17,7,13,10.13
1082621,Royal Challengers Bengaluru,134,10,120,120,9,4,12,6.7
1082621,Gujarat Lions,135,3,83,83,13,7,8,9.76
1082622,Delhi Capitals,160,6,120,120,14,4,7,8.0
1082622,Kolkata Knight Riders,161,3,98,98,20,4,10,9.86
1082623,Sunrisers Hyderabad,207,3,120,120,19,7,3,10.35
1082623,Punjab Kings,181,9,120,120,25,4,5,9.05
1082624,Rising Pune Supergiant,157,3,120,120,14,4,4,7.85
1082624,Royal Challengers Bengaluru,96,9,120,120,6,1,4,4.8
1082625,Gujarat Lions,153,9,120,120,13,6,11,7.65
1082625,Mumbai Indians,153,10,120,120,16,3,1,7.65
1082626,Delhi Capitals,67,10,103,120,3,2,5,3.9
1082626,Punjab Kings,68,0,47,47,7,3,2,8.68
1082627,Sunrisers Hyderabad,209,3,120,120,17,9,8,10.45
1082627,Kolkata Knight Riders,161,7,120,120,12,5,5,8.05
1082628,Royal Challengers Bengaluru,162,8,120,120,10,8,4,8.1
1082628,Mumbai Indians,165,6,119,119,17,3,7,8.32
1082629,Gujarat Lions,161,10,119,120,15,5,7,8.12
1082629,Rising Pune Supergiant,167,5,119,119,12,8,7,8.42
1082630,Sunrisers Hyderabad,185,3,120,120,22,4,8,9.25
1082630,Delhi Capitals,189,4,115,115,15,10,3,9.86
1082631,Kolkata Knight Riders,155,8,120,120,14,7,5,7.75
1082631,Rising Pune Supergiant,158,6,116,116,13,9,8,8.17
1082632,Gujarat Lions,208,7,120,120,16,11,5,10.4
1082632,Delhi Capitals,214,3,105,105,8,20,12,12.23
1082633,Punjab Kings,138,7,120,120,11,3,12,6.9
1082633,Royal Challengers Bengaluru,119,10,114,120,10,3,7,6.26
1082634,Rising Pune Supergiant,148,8,120,120,5,6,7,7.4
1082634,Sunrisers Hyderabad,136,9,120,120,11,5,2,6.8
1082635,Mumbai Indians,212,3,120,120,15,11,19,10.6
1082635,Delhi Capitals,66,10,82,120,5,3,3,4.83
1082636,Royal Challengers Bengaluru,158,6,120,120,11,6,3,7.9
1082636,Kolkata Knight Riders,159,4,91,91,12,10,6,10.48
1082637,Punjab Kings,189,3,120,120,14,7,3,9.45
1082637,Gujarat Lions,192,4,118,118,17,6,6,9.76
1082638,Mumbai Indians,138,7,120,120,10,3,10,6.9
1082638,Sunrisers Hyderabad,140,3,110,110,13,2,4,7.64
1082639,Punjab Kings,167,6,120,120,13,5,12,8.35
1082639,Kolkata Knight Riders,153,6,120,120,14,4,4,7.65
1082640,Gujarat Lions,195,5,120,120,20,6,11,9.75
1082640,Delhi Capitals,197,8,118,118,31,4,3,10.02
1082641,Punjab Kings,230,3,120,120,18,12,10,11.5
1082641,Mumbai Indians,223,6,120,120,18,14,8,11.15
1082642,Delhi Capitals,168,8,120,120,14,6,7,8.4
