match_id,match_date,season,stage,gender,match_type,team1,team2,venue,city,toss_winner,toss_decision,winner,match_status,result_type,result_description,super_over_count
1082591,2017-04-05,2017,League,male,T20,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,COMPLETED,WINNER,,0
1082592,2017-04-06,2017,League,male,T20,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Rising Pune Supergiant,COMPLETED,WINNER,,0
1082593,2017-04-07,2017,League,male,T20,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,Kolkata Knight Riders,field,Kolkata Knight Riders,COMPLETED,WINNER,,0
1082594,2017-04-08,2017,League,male,T20,Punjab Kings,Rising Pune Supergiant,Holkar Cricket Stadium,Indore,Punjab Kings,field,Punjab Kings,COMPLETED,WINNER,,0
1082595,2017-04-08,2017,League,male,T20,Royal Challengers Bengaluru,Delhi Capitals,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,COMPLETED,WINNER,,0
1082596,2017-04-09,2017,League,male,T20,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,COMPLETED,WINNER,,0
1082597,2017-04-09,2017,League,male,T20,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,COMPLETED,WINNER,,0
1082598,2017-04-10,2017,League,male,T20,Punjab Kings,Royal Challengers Bengaluru,Holkar Cricket Stadium,Indore,Royal Challengers Bengaluru,bat,Punjab Kings,COMPLETED,WINNER,,0
1082599,2017-04-11,2017,League,male,T20,Rising Pune Supergiant,Delhi Capitals,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Delhi Capitals,COMPLETED,WINNER,,0
1082600,2017-04-12,2017,League,male,T20,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,COMPLETED,WINNER,,0
1082601,2017-04-13,2017,League,male,T20,Kolkata Knight Riders,Punjab Kings,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders,COMPLETED,WINNER,,0
1082602,2017-04-14,2017,League,male,T20,Royal Challengers Bengaluru,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Mumbai Indians,COMPLETED,WINNER,,0
1082603,2017-04-14,2017,League,male,T20,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Gujarat Lions,COMPLETED,WINNER,,0
1082604,2017-04-15,2017,League,male,T20,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,Kolkata Knight Riders,COMPLETED,WINNER,,0
1082605,2017-04-15,2017,League,male,T20,Delhi Capitals,Punjab Kings,Feroz Shah Kotla,Delhi,Delhi Capitals,bat,Delhi Capitals,COMPLETED,WINNER,,0
1082606,2017-04-16,2017,League,male,T20,Mumbai Indians,Gujarat Lions,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,COMPLETED,WINNER,,0
1082607,2017-04-16,2017,League,male,T20,Royal Challengers Bengaluru,Rising Pune Supergiant,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,field,Rising Pune Supergiant,COMPLETED,WINNER,,0
1082608,2017-04-17,2017,League,male,T20,Delhi Capitals,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Delhi Capitals,bat,Kolkata Knight Riders,COMPLETED,WINNER,,0
1082609,2017-04-17,2017,League,male,T20,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,COMPLETED,WINNER,,0
1082610,2017-04-18,2017,League,male,T20,Gujarat Lions,Royal Challengers Bengaluru,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Royal Challengers Bengaluru,COMPLETED,WINNER,,0
1082611,2017-04-19,2017,League,male,T20,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,COMPLETED,WINNER,,0
1082612,2017-04-20,2017,League,male,T20,Punjab Kings,Mumbai Indians,Holkar Cricket Stadium,Indore,Mumbai Indians,field,Mumbai Indians,COMPLETED,WINNER,,0
1082613,2017-04-21,2017,League,male,T20,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Kolkata,Gujarat Lions,field,Gujarat Lions,COMPLETED,WINNER,,0
1082614,2017-04-22,2017,League,male,T20,Mumbai Indians,Delhi Capitals,Wankhede Stadium,Mumbai,Delhi Capitals,field,Mumbai Indians,COMPLETED,WINNER,,0
1082615,2017-04-22,2017,League,male,T20,Rising Pune Supergiant,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Rising Pune Supergiant,COMPLETED,WINNER,,0
1082616,2017-04-23,2017,League,male,T20,Gujarat Lions,Punjab Kings,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Punjab Kings,COMPLETED,WINNER,,0
1082617,2017-04-23,2017,League,male,T20,Kolkata Knight Riders,Royal Challengers Bengaluru,Eden Gardens,Kolkata,Royal Challengers Bengaluru,field,Kolkata Knight Riders,COMPLETED,WINNER,,0
1082618,2017-04-24,2017,League,male,T20,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Mumbai,Mumbai Indians,field,Rising Pune Supergiant,COMPLETED,WINNER,,0
1082620,2017-04-26,2017,League,male,T20,Rising Pune Supergiant,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,Kolkata Knight Riders,field,Kolkata Knight Riders,COMPLETED,WINNER,,0
1082621,2017-04-27,2017,League,male,T20,Royal Challengers Bengaluru,Gujarat Lions,M Chinnaswamy Stadium,Bangalore,Gujarat Lions,field,Gujarat Lions,COMPLETED,WINNER,,0
1082622,2017-04-28,2017,League,male,T20,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders,COMPLETED,WINNER,,0
1082623,2017-04-28,2017,League,male,T20,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Punjab Kings,field,Sunrisers Hyderabad,COMPLETED,WINNER,,0
1082624,2017-04-29,2017,League,male,T20,Rising Pune Supergiant,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,Pune,Royal Challengers Bengaluru,field,Rising Pune Supergiant,COMPLETED,WINNER,,0
1082625,2017-04-29,2017,League,male,T20,Gujarat Lions,Mumbai Indians,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,bat,Mumbai Indians,COMPLETED,TIED,Super Overs: 2,2
1082626,2017-04-30,2017,League,male,T20,Punjab Kings,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Punjab Kings,field,Punjab Kings,COMPLETED,WINNER,,0
1082627,2017-04-30,2017,League,male,T20,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,COMPLETED,WINNER,,0
1082628,2017-05-01,2017,League,male,T20,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,Mumbai,Royal Challengers Bengaluru,bat,Mumbai Indians,COMPLETED,WINNER,,0
1082629,2017-05-01,2017,League,male,T20,Rising Pune Supergiant,Gujarat Lions,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Rising Pune Supergiant,COMPLETED,WINNER,,0
1082630,2017-05-02,2017,League,male,T20,Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,Delhi Capitals,field,Delhi Capitals,COMPLETED,WINNER,,0
1082631,2017-05-03,2017,League,male,T20,Kolkata Knight Riders,Rising Pune Supergiant,Eden Gardens,Kolkata,Rising Pune Supergiant,field,Rising Pune Supergiant,COMPLETED,WINNER,,0
1082632,2017-05-04,2017,League,male,T20,Delhi Capitals,Gujarat Lions,Feroz Shah Kotla,Delhi,Delhi Capitals,field,Delhi Capitals,COMPLETED,WINNER,,0
1082633,2017-05-05,2017,League,male,T20,Royal Challengers Bengaluru,Punjab Kings,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,field,Punjab Kings,COMPLETED,WINNER,,0
1082634,2017-05-06,2017,League,male,T20,Sunrisers Hyderabad,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Rising Pune Supergiant,COMPLETED,WINNER,,0
1082635,2017-05-06,2017,League,male,T20,Delhi Capitals,Mumbai Indians,Feroz Shah Kotla,Delhi,Delhi Capitals,field,Mumbai Indians,COMPLETED,WINNER,,0
1082636,2017-05-07,2017,League,male,T20,Royal Challengers Bengaluru,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,COMPLETED,WINNER,,0
