player_external_id,player_name,team_name,season,matches,batting_innings,runs,balls_faced,highest_score,not_outs,fours,sixes,fifties,centuries,batting_average,strike_rate,bowling_innings,balls_bowled,wickets,runs_conceded,economy,bowling_average,best_bowling_wickets,five_wicket_hauls
dcce6f09,DA Warner,Sunrisers Hyderabad,2017,14,14,641,452,126,3,63,26,4,1,58.27,141.81,0,0,0,0,0.0,0.0,0,0
245c97cb,TS Mills,Royal Challengers Bengaluru,2017,5,3,8,11,6,0,0,1,0,0,2.67,72.73,5,107,5,153,8.58,30.6,2,0
0a476045,S Dhawan,Sunrisers Hyderabad,2017,14,14,479,376,77,1,53,9,3,0,36.85,127.39,0,0,0,0,0.0,0.0,0,0
18e6906e,A Choudhary,Royal Challengers Bengaluru,2017,5,3,25,20,15,2,1,1,0,0,25.0,125.0,5,101,5,144,8.55,28.8,2,0
32198ae0,MC Henriques,Sunrisers Hyderabad,2017,12,11,277,203,55,5,28,4,3,0,46.17,136.45,12,144,1,248,10.33,248.0,1,0
57ee1fde,YS Chahal,Royal Challengers Bengaluru,2017,13,6,13,26,4,3,0,0,0,0,4.33,50.0,13,261,14,333,7.66,23.79,3,0
957532de,S Aravind,Royal Challengers Bengaluru,2017,10,6,32,40,9,3,2,0,0,0,10.67,80.0,10,183,5,275,9.02,55.0,2,0
4329fbb5,SR Watson,Royal Challengers Bengaluru,2017,8,7,71,78,24,1,6,1,0,0,11.83,91.03,8,161,5,245,9.13,49.0,1,0
12b610c2,TM Head,Royal Challengers Bengaluru,2017,7,7,151,108,75,2,9,6,1,0,30.2,139.81,5,48,2,81,10.12,40.5,2,0
bd17b45f,STR Binny,Royal Challengers Bengaluru,2017,7,7,78,76,18,2,6,3,0,0,15.6,102.63,4,36,4,50,8.33,12.5,1,0
1c914163,Yuvraj Singh,Sunrisers Hyderabad,2017,11,11,252,177,70,2,30,8,2,0,28.0,142.37,2,12,1,22,11.0,22.0,1,0
73ad96ed,DJ Hooda,Sunrisers Hyderabad,2017,7,6,78,52,19,3,5,4,0,0,26.0,150.0,3,24,2,42,10.5,21.0,1,0
2e11c706,BCJ Cutting,Sunrisers Hyderabad,2017,4,3,51,26,20,1,5,3,0,0,25.5,196.15,4,76,1,123,9.71,123.0,1,0
db584dad,CH Gayle,Royal Challengers Bengaluru,2017,9,9,200,163,77,0,15,14,1,0,22.22,122.7,0,0,0,0,0.0,0.0,0,0
96fd40ae,A Nehra,Sunrisers Hyderabad,2017,6,0,0,0,0,0,0,0,0,0,0.0,0.0,6,127,8,197,9.31,24.62,3,0
c3a96caf,Mandeep Singh,Royal Challengers Bengaluru,2017,10,10,188,177,52,0,21,4,1,0,18.8,106.21,0,0,0,0,0.0,0.0,0,0
2e81a32d,B Kumar,Sunrisers Hyderabad,2017,14,2,4,4,4,1,0,0,0,0,4.0,100.0,14,314,26,369,7.05,14.19,5,0
5f547c8b,Rashid Khan,Sunrisers Hyderabad,2017,14,3,11,9,6,1,0,1,0,0,5.5,122.22,14,324,17,358,6.63,21.06,3,0
99d63244,KM Jadhav,Royal Challengers Bengaluru,2017,13,13,267,186,69,1,25,10,1,0,22.25,143.55,0,0,0,0,0.0,0.0,0,0
dc9dd038,Sachin Baby,Royal Challengers Bengaluru,2017,3,3,15,15,12,0,2,0,0,0,5.0,100.0,0,0,0,0,0.0,0.0,0,0
c18496e1,Bipul Sharma,Sunrisers Hyderabad,2017,7,3,31,24,21,2,2,1,0,0,31.0,129.17,7,98,3,129,7.9,43.0,1,0
b5da6c24,PA Patel,Mumbai Indians,2017,16,16,395,293,70,0,49,8,2,0,24.69,134.81,0,0,0,0,0.0,0.0,0,0
66b30f71,AB Dinda,Rising Pune Supergiant,2017,3,1,7,7,7,0,1,0,0,0,7.0,100.0,3,60,1,119,11.9,119.0,1,0
99b75528,JC Buttler,Mumbai Indians,2017,10,10,272,177,77,0,27,15,1,0,27.2,153.67,0,0,0,0,0.0,0.0,0,0
23eeb873,DL Chahar,Rising Pune Supergiant,2017,3,1,14,6,14,0,0,2,0,0,14.0,233.33,3,42,1,74,10.57,74.0,1,0
e087956b,BA Stokes,Rising Pune Supergiant,2017,12,11,316,221,103,1,22,15,1,1,31.6,142.99,12,264,12,316,7.18,26.33,3,0
acee4cc4,Imran Tahir,Rising Pune Supergiant,2017,12,1,0,2,0,1,0,0,0,0,0.0,0.0,12,282,18,369,7.85,20.5,3,0
740742ef,RG Sharma,Mumbai Indians,2017,16,16,333,273,67,2,31,9,3,0,23.79,121.98,0,0,0,0,0.0,0.0,0,0
fb2d1dda,N Rana,Mumbai Indians,2017,12,12,333,264,62,1,24,17,3,0,30.27,126.14,0,0,0,0,0.0,0.0,0,0
70d205c9,AT Rayudu,Mumbai Indians,2017,5,5,91,78,63,0,7,3,1,0,18.2,116.67,0,0,0,0,0.0,0.0,0,0
14f96089,A Zampa,Rising Pune Supergiant,2017,6,1,5,7,5,0,1,0,0,0,5.0,71.43,6,119,7,163,8.22,23.29,2,0
33a364a6,R Bhatia,Rising Pune Supergiant,2017,3,1,16,17,16,0,0,1,0,0,16.0,94.12,3,42,2,55,7.86,27.5,2,0
5b8c830e,KH Pandya,Mumbai Indians,2017,13,11,243,179,47,3,24,7,0,0,30.38,135.75,13,240,10,273,6.83,27.3,3,0
a757b0d8,KA Pollard,Mumbai Indians,2017,16,16,385,276,70,3,26,22,3,0,29.62,139.49,1,11,0,30,16.36,0.0,0,0
dbe50b21,HH Pandya,Mumbai Indians,2017,17,16,250,160,35,9,11,20,0,0,35.71,156.25,13,156,6,213,8.19,35.5,2,0
13c35c9e,TG Southee,Mumbai Indians,2017,3,1,7,3,7,0,0,1,0,0,7.0,233.33,3,60,3,96,9.6,32.0,2,0
29e95537,AM Rahane,Rising Pune Supergiant,2017,16,16,382,323,60,1,35,9,2,0,25.47,118.27,0,0,0,0,0.0,0.0,0,0
00ea847a,MA Agarwal,Rising Pune Supergiant,2017,3,3,26,27,20,0,3,0,0,0,8.67,96.3,0,0,0,0,0.0,0.0,0,0
51a3c5ef,MJ McClenaghan,Mumbai Indians,2017,14,5,16,15,12,2,0,1,0,0,5.33,106.67,14,324,19,507,9.39,26.68,3,0
30a45b23,SPD Smith,Rising Pune Supergiant,2017,15,15,472,387,84,3,38,12,3,0,39.33,121.96,0,0,0,0,0.0,0.0,0,0
462411b3,JJ Bumrah,Mumbai Indians,2017,16,2,16,12,16,1,0,1,0,0,16.0,133.33,16,356,20,440,7.42,22.0,3,0
4a8a2e3b,MS Dhoni,Rising Pune Supergiant,2017,15,15,290,250,61,4,15,16,1,0,26.36,116.0,0,0,0,0,0.0,0.0,0,0
d1c36f5c,JJ Roy,Gujarat Lions,2017,3,3,59,40,31,1,9,1,0,0,29.5,147.5,0,0,0,0,0.0,0.0,0,0
a818c1be,TA Boult,Kolkata Knight Riders,2017,6,1,5,8,5,1,0,0,0,0,0.0,62.5,6,143,5,216,9.06,43.2,2,0
b8a55852,BB McCullum,Gujarat Lions,2017,11,11,319,217,72,0,29,18,2,0,29.0,147.0,0,0,0,0,0.0,0.0,0,0
98ae73b1,PP Chawla,Kolkata Knight Riders,2017,6,1,2,6,2,0,0,0,0,0,2.0,33.33,6,120,6,179,8.95,29.83,2,0
9d430b40,SP Narine,Kolkata Knight Riders,2017,16,14,224,130,54,1,34,10,1,0,17.23,172.31,15,354,10,412,6.98,41.2,2,0
1dc12ab9,SK Raina,Gujarat Lions,2017,14,14,442,307,84,3,42,13,3,0,40.18,143.97,6,72,1,102,8.5,102.0,1,0
4c5d73db,CR Woakes,Kolkata Knight Riders,2017,13,7,46,47,18,3,4,1,0,0,11.5,97.87,13,264,17,386,8.77,22.71,3,0
8d2c70ad,Kuldeep Yadav,Kolkata Knight Riders,2017,12,2,20,22,16,0,2,0,0,0,10.0,90.91,11,246,12,340,8.29,28.33,2,0
b8d490fd,AJ Finch,Gujarat Lions,2017,13,13,299,180,72,1,25,19,2,0,24.92,166.11,0,0,0,0,0.0,0.0,0,0
3c6ffae8,YK Pathan,Kolkata Knight Riders,2017,12,11,143,115,59,3,9,6,1,0,17.88,124.35,4,24,1,41,10.25,41.0,1,0
c03f1114,KD Karthik,Gujarat Lions,2017,13,13,361,259,65,3,30,11,2,0,36.1,139.38,0,0,0,0,0.0,0.0,0,0
bb345e0b,G Gambhir,Kolkata Knight Riders,2017,16,16,498,389,76,4,62,7,4,0,41.5,128.02,0,0,0,0,0.0,0.0,0,0
e938e1bc,P Kumar,Gujarat Lions,2017,6,2,8,9,7,1,0,0,0,0,8.0,88.89,6,99,6,151,9.15,25.17,2,0
45eda7c8,CA Lynn,Kolkata Knight Riders,2017,7,7,295,163,93,1,25,19,3,0,49.17,180.98,0,0,0,0,0.0,0.0,0,0
d2a989fc,DS Kulkarni,Gujarat Lions,2017,6,1,1,2,1,0,0,0,0,0,1.0,50.0,6,113,3,173,9.19,57.67,1,0
ae78bc32,MS Gony,Gujarat Lions,2017,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,12,0,32,16.0,0.0,0,0
1da489ff,S Kaushik,Gujarat Lions,2017,3,0,0,0,0,0,0,0,0,0,0.0,0.0,3,66,0,105,9.55,0.0,0,0
35205dfc,DR Smith,Gujarat Lions,2017,12,11,239,156,74,0,32,8,2,0,21.73,153.21,9,78,2,148,11.38,74.0,1,0
c8179c68,SB Jakati,Gujarat Lions,2017,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2,30,0,52,10.4,0.0,0,0
ce820073,Sandeep Sharma,Punjab Kings,2017,13,2,7,6,5,2,0,0,0,0,0.0,116.67,13,288,17,398,8.29,23.41,4,0
759ac88f,MM Sharma,Punjab Kings,2017,14,7,51,50,13,1,4,1,0,0,8.5,102.0,14,274,13,410,8.98,31.54,2,0
2e171977,AR Patel,Punjab Kings,2017,14,13,227,162,44,5,11,11,0,0,28.38,140.12,14,288,15,362,7.54,24.13,3,0
ce794613,T Natarajan,Punjab Kings,2017,6,0,0,0,0,0,0,0,0,0,0.0,0.0,6,76,2,115,9.08,57.5,1,0
d9273ee7,MP Stoinis,Punjab Kings,2017,5,3,17,24,9,0,1,0,0,0,5.67,70.83,5,63,2,110,10.48,55.0,1,0
983f2f61,Swapnil Singh,Punjab Kings,2017,4,2,12,19,10,0,0,0,0,0,6.0,63.16,4,42,1,61,8.71,61.0,1,0
26e5cabf,MK Tiwary,Rising Pune Supergiant,2017,13,13,324,236,60,3,31,11,2,0,32.4,137.29,0,0,0,0,0.0,0.0,0,0
2a2e6343,DT Christian,Rising Pune Supergiant,2017,13,9,79,49,17,4,5,5,0,0,15.8,161.22,13,240,11,298,7.45,27.09,2,0
e798611a,HM Amla,Punjab Kings,2017,10,10,420,288,104,3,40,17,2,2,60.0,145.83,0,0,0,0,0.0,0.0,0,0
c03e2850,M Vohra,Punjab Kings,2017,9,9,229,159,95,0,23,9,1,0,25.44,144.03,0,0,0,0,0.0,0.0,0,0
fe11caa6,WP Saha,Punjab Kings,2017,11,11,234,187,93,1,20,8,1,0,23.4,125.13,0,0,0,0,0.0,0.0,0,0
2ed569a0,RD Chahar,Rising Pune Supergiant,2017,2,1,3,2,3,1,0,0,0,0,0.0,150.0,2,42,2,58,8.29,29.0,1,0
b681e71e,GJ Maxwell,Punjab Kings,2017,14,13,310,179,47,3,20,26,0,0,31.0,173.18,8,114,7,125,6.58,17.86,2,0
d67d5f00,DA Miller,Punjab Kings,2017,4,4,83,80,30,1,4,4,0,0,27.67,103.75,0,0,0,0,0.0,0.0,0,0
91a4a398,Z Khan,Delhi Capitals,2017,11,3,4,13,2,2,0,0,0,0,4.0,30.77,11,241,10,313,7.79,31.3,3,0
fb66ce1f,CH Morris,Delhi Capitals,2017,9,8,154,94,52,3,15,6,1,0,30.8,163.83,9,186,12,240,7.74,20.0,4,0
ded9240e,PJ Cummins,Delhi Capitals,2017,12,8,77,53,24,3,5,4,0,0,15.4,145.28,12,277,15,373,8.08,24.87,2,0
9d80c5e1,S Nadeem,Delhi Capitals,2017,7,3,2,9,2,0,0,0,0,0,0.67,22.22,7,107,6,119,6.67,19.83,2,0
6b19d823,A Mishra,Delhi Capitals,2017,14,6,49,52,13,5,2,2,0,0,49.0,94.23,14,233,10,343,8.83,34.3,3,0
e342e5fb,CR Brathwaite,Delhi Capitals,2017,2,2,12,15,11,0,2,0,0,0,6.0,80.0,2,36,1,67,11.17,67.0,1,0
0494fa6e,Vishnu Vinod,Royal Challengers Bengaluru,2017,3,3,19,26,9,0,1,1,0,0,6.33,73.08,0,0,0,0,0.0,0.0,0,0
85aae393,Iqbal Abdulla,Royal Challengers Bengaluru,2017,2,1,5,7,5,1,0,0,0,0,0.0,71.43,2,30,2,55,11.0,27.5,2,0
f62772e5,P Negi,Royal Challengers Bengaluru,2017,12,10,144,111,35,2,10,7,0,0,18.0,129.73,12,193,16,197,6.12,12.31,3,0
855a210c,AP Tare,Delhi Capitals,2017,3,3,18,23,18,0,3,0,0,0,6.0,78.26,0,0,0,0,0.0,0.0,0,0
6834d1f2,B Stanlake,Royal Challengers Bengaluru,2017,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2,48,2,70,8.75,35.0,2,0
c16d4035,SW Billings,Delhi Capitals,2017,6,6,138,104,55,0,19,1,1,0,23.0,132.69,0,0,0,0,0.0,0.0,0,0
944533a5,KK Nair,Delhi Capitals,2017,13,13,281,226,64,0,39,6,1,0,21.62,124.34,0,0,0,0,0.0,0.0,0,0
a4cc73aa,SV Samson,Delhi Capitals,2017,14,14,386,273,102,0,32,19,2,1,27.57,141.39,0,0,0,0,0.0,0.0,0,0
919a3be2,RR Pant,Delhi Capitals,2017,14,14,366,221,97,0,28,24,2,0,26.14,165.61,0,0,0,0,0.0,0.0,0,0
871e9faf,Basil Thampi,Gujarat Lions,2017,12,5,28,28,13,5,1,1,0,0,0.0,100.0,12,268,11,424,9.49,38.55,3,0
c28e9f12,Tejas Baroka,Gujarat Lions,2017,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,21,0,33,9.43,0.0,0,0
a12e1d51,SL Malinga,Mumbai Indians,2017,12,2,7,3,7,2,0,1,0,0,0.0,233.33,12,269,11,382,8.52,34.73,2,0
1c17e270,RV Uthappa,Kolkata Knight Riders,2017,13,13,388,235,87,0,36,21,5,0,29.85,165.11,0,0,0,0,0.0,0.0,0,0
93b4fc78,MK Pandey,Kolkata Knight Riders,2017,12,12,396,308,81,4,28,12,2,0,49.5,128.57,0,0,0,0,0.0,0.0,0,0
8b5b6769,Harbhajan Singh,Mumbai Indians,2017,11,7,16,16,7,5,0,1,0,0,8.0,100.0,11,246,8,266,6.49,33.25,3,0
271f83cd,SA Yadav,Kolkata Knight Riders,2017,7,7,105,88,31,1,8,3,0,0,17.5,119.32,0,0,0,0,0.0,0.0,0,0
db31895a,AS Rajpoot,Kolkata Knight Riders,2017,5,1,4,7,4,0,1,0,0,0,4.0,57.14,5,84,4,107,7.64,26.75,3,0
c4487b84,AB de Villiers,Royal Challengers Bengaluru,2017,9,9,216,163,89,1,12,16,1,0,27.0,132.52,0,0,0,0,0.0,0.0,0,0
0a3d54b9,VR Aaron,Punjab Kings,2017,6,2,4,10,4,1,0,0,0,0,4.0,40.0,6,120,7,163,8.15,23.29,2,0
