team_id,team_name,gender
Chennai Super Kings,Chennai Super Kings,male
Deccan Chargers,Deccan Chargers,male
Delhi Capitals,Delhi Capitals,male
Gujarat Lions,Gujarat Lions,male
Gujarat Titans,Gujarat Titans,male
Kochi Tuskers Kerala,Kochi Tuskers Kerala,male
Kolkata Knight Riders,Kolkata Knight Riders,male
Lucknow Super Giants,Lucknow Super Giants,male
Mumbai Indians,Mumbai Indians,male
Pune Warriors,Pune Warriors,male
Punjab Kings,Punjab Kings,male
Rajasthan Royals,Rajasthan Royals,male
Rising Pune Supergiant,Rising Pune Supergiant,male
Royal Challengers Bengaluru,Royal Challengers Bengaluru,male
Sunrisers Hyderabad,Sunrisers Hyderabad,male
