match_id,team_id,team_name,gender,runs,wickets,total_balls,fours,sixes,extras,run_rate
1000887,1,Australia,male,268,9,300,22,4,11,5.36
1000887,2,Pakistan,male,176,10,256,8,2,14,4.12
1000889,1,Australia,male,220,10,290,16,1,18,4.55
1000889,2,Pakistan,male,221,4,286,25,1,13,4.64
1000891,2,Pakistan,male,263,7,300,18,5,15,5.26
1000891,1,Australia,male,265,3,270,29,1,8,5.89
1000893,1,Australia,male,353,6,300,30,7,10,7.06
1000893,2,Pakistan,male,267,10,263,24,5,9,6.09
1000895,1,Australia,male,369,7,300,33,9,11,7.38
1000895,2,Pakistan,male,312,9,295,26,5,15,6.35
1001371,1,Australia,male,324,8,300,26,8,15,6.48
1001371,3,New Zealand,male,256,10,266,26,8,8,5.77
1001373,1,Australia,male,378,5,300,31,12,24,7.56
1001373,3,New Zealand,male,262,10,284,22,6,5,5.54
1001375,1,Australia,male,264,8,300,17,4,18,5.28
1001375,3,New Zealand,male,147,10,217,13,1,6,4.06
1004283,4,Scotland,male,153,6,120,14,4,3,7.65
1004283,5,Hong Kong,male,136,4,108,15,2,14,7.56
1004285,4,Scotland,male,266,7,300,22,5,15,5.32
1004285,5,Hong Kong,male,213,10,277,21,3,11,4.61
1007649,6,Zimbabwe,male,168,10,299,9,0,20,3.37
1007649,7,India,male,173,1,255,13,1,4,4.07
1007651,6,Zimbabwe,male,126,9,207,10,1,10,3.65
1007651,7,India,male,129,2,161,17,0,12,4.81
1007653,6,Zimbabwe,male,123,10,254,8,1,8,2.91
1007653,7,India,male,126,0,131,11,3,8,5.77
1019973,3,New Zealand,male,341,7,300,24,9,17,6.82
1019973,8,Bangladesh,male,264,9,269,23,7,26,5.89
1019975,3,New Zealand,male,251,10,300,24,5,12,5.02
1019975,8,Bangladesh,male,184,10,256,15,5,16,4.31
1019977,8,Bangladesh,male,236,9,300,19,2,17,4.72
1019977,3,New Zealand,male,239,2,248,26,3,9,5.78
1020013,3,New Zealand,male,286,9,300,24,4,29,5.72
1020013,1,Australia,male,280,10,282,23,12,14,5.96
1020017,3,New Zealand,male,281,9,300,28,3,13,5.62
1020017,1,Australia,male,257,10,282,22,7,23,5.47
1020031,3,New Zealand,male,207,7,204,15,6,10,6.09
1020031,9,South Africa,male,210,6,203,22,3,9,6.21
1020033,3,New Zealand,male,289,4,300,26,0,9,5.78
1020033,9,South Africa,male,283,9,300,27,2,12,5.66
1020035,9,South Africa,male,271,8,300,22,4,9,5.42
1020035,3,New Zealand,male,112,10,194,6,3,8,3.46
1020037,9,South Africa,male,279,8,300,22,6,7,5.58
1020037,3,New Zealand,male,280,3,270,26,12,8,6.22
1020039,3,New Zealand,male,149,10,247,15,3,10,3.62
1020039,9,South Africa,male,150,4,194,16,4,14,4.64
1022347,8,Bangladesh,male,305,6,300,32,4,9,6.1
1022347,10,England,male,308,2,284,30,5,4,6.51
1022349,3,New Zealand,male,291,10,270,32,7,7,6.47
1022349,1,Australia,male,53,3,54,7,1,1,5.89
1022351,9,South Africa,male,299,6,300,22,4,11,5.98
1022351,11,Sri Lanka,male,203,10,249,20,2,15,4.89
1022353,7,India,male,319,3,288,27,10,6,6.65
1022353,2,Pakistan,male,164,9,202,15,2,8,4.87
1022355,8,Bangladesh,male,182,10,267,9,4,9,4.09
1022355,1,Australia,male,83,1,96,7,0,2,5.19
1022357,10,England,male,310,10,297,19,10,16,6.26
1022357,3,New Zealand,male,223,10,267,18,1,16,5.01
1022359,9,South Africa,male,219,8,300,9,3,7,4.38
1022359,2,Pakistan,male,119,3,162,15,1,6,4.41
1022361,7,India,male,321,6,300,31,8,14,6.42
1022361,11,Sri Lanka,male,322,3,292,31,5,17,6.62
1022363,3,New Zealand,male,265,8,300,25,1,6,5.3
1022363,8,Bangladesh,male,268,5,284,24,3,20,5.66
1022365,1,Australia,male,277,9,300,27,2,17,5.54
1022365,10,England,male,240,4,242,27,8,3,5.95
1022367,9,South Africa,male,191,10,267,11,1,16,4.29
1022367,7,India,male,193,2,228,21,4,4,5.08
1022369,11,Sri Lanka,male,236,10,296,16,1,19,4.78
1022369,2,Pakistan,male,237,7,269,20,3,23,5.29
1022371,10,England,male,211,10,299,15,0,6,4.23
1022371,2,Pakistan,male,215,2,223,17,5,13,5.78
1022373,8,Bangladesh,male,264,7,301,27,1,23,5.26
1022373,7,India,male,265,1,241,35,2,0,6.6
1022375,2,Pakistan,male,338,4,300,27,9,25,6.76
1022375,7,India,male,158,10,183,14,6,3,5.18
1026847,5,Hong Kong,male,269,10,298,22,11,22,5.42
1026847,12,Papua New Guinea,male,163,10,230,14,4,7,4.25
1026849,12,Papua New Guinea,male,201,10,275,21,4,15,4.39
1026849,5,Hong Kong,male,187,10,289,13,6,25,3.88
1026851,12,Papua New Guinea,male,244,7,300,19,8,23,4.88
1026851,5,Hong Kong,male,181,3,201,20,4,11,5.4
1027315,10,England,male,296,6,300,22,5,20,5.92
1027315,13,West Indies,male,251,10,284,19,4,11,5.3
1027317,13,West Indies,male,225,10,287,15,3,9,4.7
1027317,10,England,male,226,6,290,15,3,5,4.68
1027319,10,England,male,328,10,300,26,10,13,6.56
1027319,13,West Indies,male,142,10,236,15,2,14,3.61
1029001,14,Ireland,male,126,10,198,15,0,3,3.82
1029001,10,England,male,127,3,120,20,0,3,6.35
1029003,10,England,male,328,6,300,35,5,8,6.56
1029003,14,Ireland,male,243,10,277,19,6,11,5.26
1029819,10,England,male,309,8,300,25,9,6,6.18
1029819,8,Bangladesh,male,288,10,287,29,3,16,6.02
1029821,8,Bangladesh,male,238,8,300,20,3,11,4.76
1029821,10,England,male,204,10,268,17,1,13,4.57
1029823,8,Bangladesh,male,277,6,300,22,3,18,5.54
1029823,10,England,male,278,6,287,21,5,6,5.81
1030219,3,New Zealand,male,190,10,263,18,4,11,4.33
1030219,7,India,male,194,4,199,18,5,14,5.85
1030221,3,New Zealand,male,242,9,300,25,2,3,4.84
1030221,7,India,male,236,10,297,14,5,13,4.77
1030223,3,New Zealand,male,285,10,298,26,5,7,5.74
1030223,7,India,male,289,3,290,28,4,9,5.98
1030225,3,New Zealand,male,260,7,300,25,0,16,5.2
1030225,7,India,male,241,10,292,17,4,12,4.95
1030227,7,India,male,269,6,300,17,7,9,5.38
1030227,3,New Zealand,male,79,10,139,8,0,6,3.41
1031425,10,England,male,339,6,300,23,12,18,6.78
1031425,9,South Africa,male,267,10,270,29,2,4,5.93
1031427,10,England,male,330,6,300,36,4,15,6.6
1031427,9,South Africa,male,328,5,300,30,4,15,6.56
1031429,10,England,male,153,10,187,20,1,10,4.91
1031429,9,South Africa,male,156,3,173,24,0,7,5.41
1031667,13,West Indies,male,204,9,252,14,5,14,4.86
1031667,10,England,male,210,3,185,21,2,4,6.81
1031669,10,England,male,21,0,14,3,0,2,9.0
1031671,10,England,male,369,9,300,29,15,6,7.38
1031671,13,West Indies,male,245,10,235,21,13,10,6.26
1031673,13,West Indies,male,356,5,300,29,13,15,7.12
1031673,10,England,male,258,5,211,29,4,9,7.34
1031675,13,West Indies,male,288,6,300,17,10,6,5.76
1031675,10,England,male,294,1,228,30,2,11,7.74
1033361,8,Bangladesh,male,157,4,187,18,1,18,5.04
1033363,3,New Zealand,male,289,7,300,30,1,14,5.78
1033363,14,Ireland,male,238,10,273,22,6,17,5.23
1033365,8,Bangladesh,male,257,9,300,24,1,12,5.14
1033365,3,New Zealand,male,258,6,285,20,4,14,5.43
1033367,14,Ireland,male,181,10,279,10,3,13,3.89
1033367,8,Bangladesh,male,182,2,163,20,3,10,6.7
1033369,3,New Zealand,male,344,6,300,32,10,16,6.88
1033369,14,Ireland,male,154,10,237,13,2,7,3.9
1033371,3,New Zealand,male,270,8,300,27,0,18,5.4
1033371,8,Bangladesh,male,271,5,290,28,3,21,5.61
1034819,10,England,male,350,7,300,26,11,22,7.0
1034819,7,India,male,356,7,289,29,12,16,7.39
1034821,7,India,male,381,6,300,42,12,16,7.62
1034821,10,England,male,366,8,300,39,7,12,7.32
1034823,10,England,male,321,8,300,31,8,17,6.42
1034823,7,India,male,316,9,300,33,6,22,6.32
1041523,16,South Africa,female,251,7,300,27,0,6,5.02
1041523,15,Bangladesh,female,157,10,300,11,0,12,3.14
1041525,15,Bangladesh,female,68,10,219,6,0,10,1.86
1041525,16,South Africa,female,69,2,60,12,0,1,6.9
1043953,16,South Africa,female,226,5,300,23,2,6,4.52
1043953,17,Australia,female,230,8,299,18,3,13,4.62
1043955,17,Australia,female,278,4,300,33,0,18,5.56
1043955,16,South Africa,female,119,5,188,9,0,5,3.8
1043961,17,Australia,female,260,9,300,25,1,17,5.2
1043961,16,South Africa,female,217,10,291,22,0,20,4.47
1044203,18,Sri Lanka,female,76,10,149,11,0,16,3.06
1044203,17,Australia,female,79,6,94,10,1,1,5.04
1044209,17,Australia,female,268,3,300,23,3,10,5.36
1044209,18,Sri Lanka,female,131,10,275,9,0,26,2.86
1050223,2,Pakistan,male,284,9,294,18,7,10,5.8
1050223,13,West Indies,male,175,10,232,8,8,9,4.53
1050225,2,Pakistan,male,337,5,300,23,8,14,6.74
1050225,13,West Indies,male,278,7,300,20,6,17,5.56
1050227,2,Pakistan,male,308,6,300,22,2,11,6.16
1050227,13,West Indies,male,172,10,264,11,2,11,3.91
1050607,19,New Zealand,female,309,4,300,35,1,9,6.18
1050607,20,Pakistan,female,142,4,206,10,0,11,4.14
1050609,20,Pakistan,female,263,6,300,16,0,19,5.26
1050609,19,New Zealand,female,267,2,266,25,0,6,6.02
1050611,20,Pakistan,female,158,10,289,18,0,14,3.28
1050611,19,New Zealand,female,162,3,135,23,1,10,7.2
1050623,17,Australia,female,275,10,292,23,0,21,5.65
1050623,19,New Zealand,female,276,5,295,27,0,16,5.61
1050625,19,New Zealand,female,253,8,300,17,2,20,5.06
1050625,17,Australia,female,256,6,284,28,1,6,5.41
1050627,19,New Zealand,female,270,9,300,33,0,14,5.4
1050627,17,Australia,female,273,5,296,23,3,9,5.53
1059195,18,Sri Lanka,female,161,10,298,18,0,18,3.24
1059195,21,England,female,162,5,177,14,3,13,5.49
1059196,21,England,female,240,9,300,22,3,16,4.8
1059196,18,Sri Lanka,female,78,10,199,8,0,5,2.35
1059710,6,Zimbabwe,male,154,10,249,8,5,8,3.71
1059710,11,Sri Lanka,male,155,2,147,23,1,3,6.33
1059711,13,West Indies,male,227,10,296,12,6,11,4.6
1059711,11,Sri Lanka,male,165,10,259,17,2,4,3.82
