player_id,player_external_id,player_name,gender,team_name,matches,batting_innings,runs,balls_faced,highest_score,not_outs,fours,sixes,fifties,centuries,batting_average,strike_rate,bowling_innings,balls_bowled,wickets,runs_conceded,economy,bowling_average,best_bowling_wickets,five_wicket_hauls
1,25c73eb6,A Aitken-Drummond,female,Scotland,8,8,78,111,22,0,13,0,0,0,9.75,70.27,0,0,0,0,0.0,0.0,0,0
2,9d87a319,A Beggs,female,Ireland,3,1,0,2,0,0,0,0,0,0,0.0,0.0,3,132,5,130,5.91,26.0,3,0
3,dcf0e8f4,A Bosch,female,South Africa,28,26,494,642,91,3,67,3,3,0,21.48,76.95,7,156,1,134,5.15,134.0,1,0
4,053dc208,A Brindle,female,England,20,20,608,861,107,5,60,0,3,1,40.53,70.62,17,600,17,446,4.46,26.24,3,0
5,ffd5fcd8,A Canning,female,Ireland,21,18,108,186,20,3,7,2,0,0,7.2,58.06,21,849,16,625,4.42,39.06,4,0
6,910dd54e,A Capsey,female,England,32,28,555,701,50,4,63,2,1,0,23.12,79.17,19,514,17,416,4.86,24.47,3,0
7,57a7b064,A Chopra,female,India,1,1,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
8,66498395,A Dalzell,female,Ireland,10,6,52,79,19,3,5,0,0,0,17.33,65.82,10,359,8,356,5.95,44.5,4,0
9,8479657a,A Das,female,India,3,1,1,11,1,0,0,0,0,0,1.0,9.09,3,165,7,119,4.33,17.0,4,0
10,d2b1f515,A Dercksen,female,South Africa,23,22,751,819,104,1,64,20,5,1,35.76,91.7,17,405,14,430,6.37,30.71,3,0
11,bc969efb,A Gardner,female,Australia,87,64,1604,1479,115,13,166,40,7,3,31.45,108.45,86,3739,119,2672,4.29,22.45,5,1
12,53d50717,A Hartley,female,England,21,5,4,28,2,4,0,0,0,0,4.0,14.29,21,1012,23,718,4.26,31.22,3,0
13,ccaa3434,A Hlubi,female,South Africa,12,6,15,32,6,3,2,0,0,0,5.0,46.88,12,474,10,487,6.16,48.7,3,0
14,e8fa03ed,A Hunter,female,Ireland,43,43,1385,1617,121,3,152,4,10,1,34.62,85.65,0,0,0,0,0.0,0.0,0,0
15,0d518f89,A Khaka,female,South Africa,104,45,146,313,18,19,14,0,0,0,5.62,46.65,104,4821,137,3502,4.36,25.56,6,2
16,83558266,A King,female,Australia,52,22,295,295,51,6,17,17,1,0,18.44,100.0,51,2240,85,1599,4.28,18.81,7,3
17,85f5735b,A Kolan,female,United States of America,7,7,155,286,43,0,16,0,0,0,22.14,54.2,0,0,0,0,0.0,0.0,0,0
18,69a0b944,A le Breton,female,South Africa,1,1,3,6,3,1,0,0,0,0,0.0,50.0,0,0,0,0,0.0,0.0,0,0
