player_id,player_external_id,player_name,gender,role,batting_style,bowling_style,team_name
1,25c73eb6,A Aitken-Drummond,female,BATTER,,,Scotland
2,9d87a319,A Beggs,female,ALL_ROUNDER,,,Ireland
3,dcf0e8f4,A Bosch,female,ALL_ROUNDER,,,South Africa
4,053dc208,A Brindle,female,ALL_ROUNDER,,,England
5,ffd5fcd8,A Canning,female,ALL_ROUNDER,,,Ireland
6,910dd54e,A Capsey,female,ALL_ROUNDER,,,England
7,57a7b064,A Chopra,female,BATTER,,,India
8,66498395,A Dalzell,female,ALL_ROUNDER,,,Ireland
9,8479657a,A Das,female,ALL_ROUNDER,,,India
10,d2b1f515,A Dercksen,female,ALL_ROUNDER,,,South Africa
11,bc969efb,A Gardner,female,ALL_ROUNDER,,,Australia
12,53d50717,A Hartley,female,ALL_ROUNDER,,,England
13,ccaa3434,A Hlubi,female,ALL_ROUNDER,,,South Africa
14,e8fa03ed,A Hunter,female,BATTER,,,Ireland
15,0d518f89,A Khaka,female,ALL_ROUNDER,,,South Africa
16,83558266,A King,female,ALL_ROUNDER,,,Australia
17,85f5735b,A Kolan,female,BATTER,,,United States of America
18,69a0b944,A le Breton,female,BATTER,,,South Africa
19,090c0213,A Lister,female,BATTER,,,Scotland
20,09a58e2d,A Mazvishaya,female,ALL_ROUNDER,,,Zimbabwe
21,cb7f7284,A Minny,female,BATTER,,,South Africa
22,a49985e6,A Mohammed,female,ALL_ROUNDER,,,West Indies
23,a811cb83,A Munisar,female,ALL_ROUNDER,,,West Indies
24,c8e6bddd,A Ndiraya,female,ALL_ROUNDER,,,Zimbabwe
25,12e28f5c,A Rawat,female,BATTER,,,India
26,eadc8924,A Reddy,female,ALL_ROUNDER,,,India
27,a3ead8da,A Sharma,female,ALL_ROUNDER,,,India
28,32497ecd,A Shrubsole,female,ALL_ROUNDER,,,England
29,14baca9f,A Steyn,female,BATTER,,,South Africa
30,65d9b6b6,A Sutherland,female,ALL_ROUNDER,,,Australia
31,43a2244f,A Suwanchonrathi,female,ALL_ROUNDER,,,Thailand
32,d58e9bfb,A Tector,female,ALL_ROUNDER,,,Ireland
33,9b3bcca4,A Wellington,female,ALL_ROUNDER,,,Australia
34,af6c03bc,A Zimunu,female,ALL_ROUNDER,,,Zimbabwe
35,4b0e3049,AA Alleyne,female,ALL_ROUNDER,,,West Indies
36,cfa56623,AA Deshpande,female,BATTER,,,India
37,9565fda6,AB Kaur,female,ALL_ROUNDER,,,India
38,ac56b5a7,AC Jayangani,female,ALL_ROUNDER,,,Sri Lanka
39,7673c908,AC Kerr,female,ALL_ROUNDER,,,New Zealand
40,a5162ca9,AD Janakanthymala,female,ALL_ROUNDER,,,Sri Lanka
41,b05e45e4,AE Jones,female,BATTER,,,England
42,72b7ed1e,AE Satterthwaite,female,ALL_ROUNDER,,,New Zealand
43,8caf9750,AE Smith,female,ALL_ROUNDER,,,South Africa
44,ecf35d58,AG Baldie,female,BOWLER,,,Scotland
45,87e5a75b,AGC Vimukthi,female,ALL_ROUNDER,,,Sri Lanka
46,f61e2829,AH Maqsood,female,ALL_ROUNDER,,,Scotland
47,5d2031f0,AH Thomson,female,ALL_ROUNDER,,,Netherlands
48,9414a81c,AI Chudasama,female,ALL_ROUNDER,,,United States of America
49,c736a96b,Aiman Anwer,female,ALL_ROUNDER,,,Pakistan
50,b9164a9b,AJ Blackwell,female,BATTER,,,Australia
51,321644de,AJ Healy,female,ALL_ROUNDER,,,Australia
52,ca753f5d,AJ Kenealy,female,ALL_ROUNDER,,,Ireland
53,f888a374,AK Maguire,female,ALL_ROUNDER,,,Ireland
54,badd245f,AK Peters,female,ALL_ROUNDER,,,West Indies
55,f874c5a7,AL Hodgkinson,female,BATTER,,,South Africa
56,be47cb63,Al Maseera Jahangir,female,ALL_ROUNDER,,,United Arab Emirates
57,d395e33c,AL Watkins,female,ALL_ROUNDER,,,New Zealand
58,2904b4b6,Aliya Riaz,female,ALL_ROUNDER,,,Pakistan
59,ae2c396f,AM Peterson,female,ALL_ROUNDER,,,New Zealand
60,35828bdd,AN Davidson-Richards,female,ALL_ROUNDER,,,England
61,397369e0,AN Kelly,female,ALL_ROUNDER,,,Ireland
62,06653fcc,Anam Amin,female,ALL_ROUNDER,,,Pakistan
63,78fc85c0,APC Kilowan,female,ALL_ROUNDER,,,South Africa
64,3e8008eb,APS Lakshika,female,BATTER,,,Sri Lanka
65,05625364,AS Tanke,female,ALL_ROUNDER,,,Netherlands
66,623c8835,AS van Beuge,female,ALL_ROUNDER,,,Netherlands
67,98dfe425,Asmavia Iqbal,female,ALL_ROUNDER,,,Pakistan
68,42d9dd09,ASS Fletcher,female,ALL_ROUNDER,,,West Indies
69,9ca533cc,ATS Silva,female,ALL_ROUNDER,,,United Arab Emirates
70,2f899a44,Ayasha Rahman,female,BATTER,,,Bangladesh
71,8c2c0a03,Ayesha Naseem,female,BATTER,,,Pakistan
