team_id,team_name,gender
1,Australia,male
2,Pakistan,male
3,New Zealand,male
4,Scotland,male
5,Hong Kong,male
6,Zimbabwe,male
7,India,male
8,Bangladesh,male
9,South Africa,male
10,England,male
11,Sri Lanka,male
12,Papua New Guinea,male
13,West Indies,male
14,Ireland,male
15,Bangladesh,female
16,South Africa,female
17,Australia,female
18,Sri Lanka,female
19,New Zealand,female
20,Pakistan,female
21,England,female
22,United Arab Emirates,male
23,India,female
24,Ireland,female
25,West Indies,female
26,Nepal,male
27,United States of America,male
28,Namibia,male
29,Oman,male
30,Netherlands,male
31,Zimbabwe,female
32,Netherlands,female
33,Thailand,female
34,Canada,male
35,Jersey,male
36,Scotland,female
37,Papua New Guinea,female
38,United States of America,female
39,United Arab Emirates,female
40,Africa XI,male
41,Asia XI,male
42,ICC World XI,male
43,Bermuda,male
44,Kenya,male
