player_id,player_external_id,player_name,gender,team_name,matches,batting_innings,runs,balls_faced,highest_score,not_outs,fours,sixes,fifties,centuries,batting_average,strike_rate,bowling_innings,balls_bowled,wickets,runs_conceded,economy,bowling_average,best_bowling_wickets,five_wicket_hauls
,5d2eda89,S Mandhana,female,India,151,151,4379,3402,124,14,600,93,34,2,31.96,128.72,0,0,0,0,0.0,,0,0
,52d1dbc8,BL Mooney,female,Australia,117,117,3739,2923,117,27,486,20,31,2,41.54,127.92,0,0,0,0,0.0,,0,0
,ac56b5a7,AC Jayangani,female,Sri Lanka,134,133,3621,3037,119,9,484,102,14,4,29.2,119.23,93,1552,74,1717,6.64,23.2,7,1
,a139c379,DN Wyatt,female,England,154,145,3465,2589,124,12,445,47,23,3,26.05,133.84,28,532,27,476,5.37,17.63,3,0
,53cd8da6,H Kaur,female,India,146,142,3372,2918,103,32,338,69,15,1,30.65,115.56,44,491,26,525,6.42,20.19,4,0
,89bbc67a,SW Bates,female,New Zealand,121,117,3207,2905,124,11,352,28,18,1,30.25,110.4,50,613,25,676,6.62,27.04,3,0
,d32cf49a,HK Matthews,female,West Indies,115,115,3188,2724,132,11,418,53,21,3,30.65,117.03,109,2173,119,2278,6.29,19.14,4,0
,fdc6b34d,ER Oza,female,United Arab Emirates,109,108,3133,2605,158,16,374,57,12,5,34.05,120.27,90,1577,97,1314,5.0,13.55,3,0
,1b9d1579,GH Lewis,female,Ireland,112,112,3109,2633,119,14,440,27,20,2,31.72,118.08,5,66,2,86,7.82,43.0,2,0
,f3a18a0c,NR Sciver,female,England,129,126,3061,2511,82,29,363,19,20,0,31.56,121.9,110,1764,80,1947,6.62,24.34,4,0
,de69af96,SFM Devine,female,New Zealand,113,112,3006,2387,105,15,285,106,22,1,30.99,125.93,98,1570,90,1884,7.2,20.93,4,0
,d8f59089,Shafali Verma,female,India,113,113,3005,2177,81,6,388,88,19,0,28.08,138.03,30,356,17,377,6.35,22.18,3,0
,e60f81c9,L Wolvaardt,female,South Africa,94,94,2833,2315,115,21,333,40,16,3,38.81,122.38,0,0,0,0,0.0,,0,0
,cb08b611,JI Rodrigues,female,India,117,117,2788,2351,76,22,317,25,16,0,29.35,118.59,5,54,1,50,5.56,50.0,1,0
,321644de,AJ Healy,female,Australia,117,117,2710,2074,148,15,371,51,15,1,26.57,130.67,0,0,0,0,0.0,,0,0
,82c78412,N Koncharoenkai,female,Thailand,116,116,2601,2787,75,30,279,0,12,0,30.24,93.33,0,0,0,0,0.0,,0,0
,27e003ce,MM Lanning,female,Australia,89,89,2538,2194,133,25,305,37,12,1,39.66,115.68,1,12,1,11,5.5,11.0,1,0
,4ba0289e,HC Knight,female,England,126,118,2522,2062,108,29,272,37,10,1,28.34,122.31,39,495,16,511,6.19,31.94,3,0
,3827f6a2,Nigar Sultana,female,Bangladesh,113,113,2521,2638,113,25,249,24,13,1,28.65,95.56,0,0,0,0,0.0,,0,0
,ee3dcb3f,Theertha Satish,female,United Arab Emirates,95,95,2325,2068,93,26,280,10,13,0,33.7,112.43,0,0,0,0,0.0,,0,0
